ligand_name,protein_name,computed_dG,error_message
Updated_Mpro_data_2513_0,Mpro-protein,-7.275212,
Updated_Mpro_data_1713_0,Mpro-protein,-7.077136,
Updated_Mpro_data_1713_0,Mpro-protein,-8.987469,
Updated_Mpro_data_1717_0,Mpro-protein,-8.506589,
Updated_Mpro_data_1717_0,Mpro-protein,-8.506583,
Updated_Mpro_data_328_0,Mpro-protein,-7.722311,
Updated_Mpro_data_328_0,Mpro-protein,-7.679059,
Updated_Mpro_data_1216_0,Mpro-protein,-5.674429,
Updated_Mpro_data_1216_0,Mpro-protein,-5.483095,
Updated_Mpro_data_1748_0,Mpro-protein,-0.424145,
Updated_Mpro_data_1748_0,Mpro-protein,1.848583,
Updated_Mpro_data_128_0,Mpro-protein,-4.883575,
Updated_Mpro_data_128_0,Mpro-protein,-4.883568,
Updated_Mpro_data_445_0,Mpro-protein,-6.766103,
Updated_Mpro_data_445_0,Mpro-protein,-6.756112,
Updated_Mpro_data_598_0,Mpro-protein,-2.434479,
Updated_Mpro_data_598_0,Mpro-protein,-2.189821,
Updated_Mpro_data_2019_0,Mpro-protein,-9.154796,
Updated_Mpro_data_2019_0,Mpro-protein,-9.352168,
Updated_Mpro_data_762_0,Mpro-protein,-7.046218,
Updated_Mpro_data_762_0,Mpro-protein,-7.058212,
Updated_Mpro_data_765_0,Mpro-protein,-4.852417,
Updated_Mpro_data_765_0,Mpro-protein,-4.790736,
Updated_Mpro_data_1983_0,Mpro-protein,-6.209533,
Updated_Mpro_data_1983_0,Mpro-protein,-6.209534,
Updated_Mpro_data_1566_0,Mpro-protein,-6.807428,
Updated_Mpro_data_1566_0,Mpro-protein,-6.80743,
Updated_Mpro_data_1233_0,Mpro-protein,-6.816414,
Updated_Mpro_data_1233_0,Mpro-protein,-6.896999,
Updated_Mpro_data_303_0,Mpro-protein,-6.607911,
Updated_Mpro_data_303_0,Mpro-protein,-6.784556,
Updated_Mpro_data_2343_0,Mpro-protein,-6.994968,
Updated_Mpro_data_2343_0,Mpro-protein,-7.180341,
Updated_Mpro_data_514_0,Mpro-protein,-7.033144,
Updated_Mpro_data_514_0,Mpro-protein,-6.963039,
Updated_Mpro_data_2588_0,Mpro-protein,-6.402603,
Updated_Mpro_data_2588_0,Mpro-protein,-6.427992,
Updated_Mpro_data_589_0,Mpro-protein,-7.077466,
Updated_Mpro_data_589_0,Mpro-protein,-6.844573,
Updated_Mpro_data_195_0,Mpro-protein,-1.40159,
Updated_Mpro_data_195_0,Mpro-protein,-1.467383,
Updated_Mpro_data_2425_0,Mpro-protein,-7.026671,
Updated_Mpro_data_2425_0,Mpro-protein,-7.026673,
Updated_Mpro_data_1062_0,Mpro-protein,-1.127333,
Updated_Mpro_data_1062_0,Mpro-protein,-1.008204,
Updated_Mpro_data_931_0,Mpro-protein,-7.95549,
Updated_Mpro_data_931_0,Mpro-protein,-7.808726,
Updated_Mpro_data_1602_0,Mpro-protein,-7.064811,
Updated_Mpro_data_1602_0,Mpro-protein,-7.064811,
Updated_Mpro_data_2137_0,Mpro-protein,-2.990254,
Updated_Mpro_data_2137_0,Mpro-protein,-3.138633,
Updated_Mpro_data_2017_0,Mpro-protein,-6.547542,
Updated_Mpro_data_2017_0,Mpro-protein,-6.48413,
Updated_Mpro_data_2084_0,Mpro-protein,-8.912424,
Updated_Mpro_data_2084_0,Mpro-protein,-8.983335,
Updated_Mpro_data_1575_0,Mpro-protein,-6.980602,
Updated_Mpro_data_1575_0,Mpro-protein,-6.818154,
Updated_Mpro_data_756_0,Mpro-protein,-6.484135,
Updated_Mpro_data_756_0,Mpro-protein,-6.94256,
Updated_Mpro_data_1818_0,Mpro-protein,-7.669749,
Updated_Mpro_data_1818_0,Mpro-protein,-7.581313,
Updated_Mpro_data_1091_0,Mpro-protein,-7.572491,
Updated_Mpro_data_1091_0,Mpro-protein,-7.016129,
Updated_Mpro_data_1532_0,Mpro-protein,-4.219804,
Updated_Mpro_data_1532_0,Mpro-protein,-4.219806,
Updated_Mpro_data_1941_0,Mpro-protein,-7.550963,
Updated_Mpro_data_1941_0,Mpro-protein,-7.308516,
Updated_Mpro_data_2197_0,Mpro-protein,-7.933909,
Updated_Mpro_data_2197_0,Mpro-protein,-7.852719,
Updated_Mpro_data_1511_0,Mpro-protein,-2.463914,
Updated_Mpro_data_1511_0,Mpro-protein,-2.630261,
Updated_Mpro_data_516_0,Mpro-protein,-5.694695,
Updated_Mpro_data_516_0,Mpro-protein,-5.83372,
Updated_Mpro_data_646_0,Mpro-protein,-8.360726,
Updated_Mpro_data_646_0,Mpro-protein,-8.526549,
Updated_Mpro_data_1284_0,Mpro-protein,-6.43697,
Updated_Mpro_data_1284_0,Mpro-protein,-6.309248,
Updated_Mpro_data_401_0,Mpro-protein,-6.838213,
Updated_Mpro_data_401_0,Mpro-protein,-6.815843,
Updated_Mpro_data_2532_0,Mpro-protein,-6.925419,
Updated_Mpro_data_2532_0,Mpro-protein,-6.751007,
Updated_Mpro_data_904_0,Mpro-protein,-6.978268,
Updated_Mpro_data_904_0,Mpro-protein,-5.921468,
Updated_Mpro_data_2742_0,Mpro-protein,-6.975066,
Updated_Mpro_data_2742_0,Mpro-protein,-6.803479,
Updated_Mpro_data_136_0,Mpro-protein,-4.500848,
Updated_Mpro_data_136_0,Mpro-protein,-4.871134,
Updated_Mpro_data_609_0,Mpro-protein,-6.000384,
Updated_Mpro_data_609_0,Mpro-protein,-5.819517,
Updated_Mpro_data_1996_0,Mpro-protein,-5.380981,
Updated_Mpro_data_1996_0,Mpro-protein,-5.380981,
Updated_Mpro_data_2506_0,Mpro-protein,-6.6858,
Updated_Mpro_data_2506_0,Mpro-protein,-6.553236,
Updated_Mpro_data_174_0,Mpro-protein,-5.185047,
Updated_Mpro_data_174_0,Mpro-protein,-5.301198,
Updated_Mpro_data_1694_0,Mpro-protein,-6.714805,
Updated_Mpro_data_1694_0,Mpro-protein,-6.741714,
Updated_Mpro_data_2616_0,Mpro-protein,-6.565761,
Updated_Mpro_data_2616_0,Mpro-protein,-6.728517,
Updated_Mpro_data_2426_0,Mpro-protein,-4.822862,
Updated_Mpro_data_2426_0,Mpro-protein,-4.996895,
Updated_Mpro_data_1740_0,Mpro-protein,-6.914508,
Updated_Mpro_data_1740_0,Mpro-protein,-7.466689,
Updated_Mpro_data_2697_0,Mpro-protein,-7.997705,
Updated_Mpro_data_2697_0,Mpro-protein,-7.419074,
Updated_Mpro_data_647_0,Mpro-protein,-7.222267,
Updated_Mpro_data_647_0,Mpro-protein,-6.771473,
Updated_Mpro_data_2452_0,Mpro-protein,-2.312749,
Updated_Mpro_data_2452_0,Mpro-protein,-1.717234,
Updated_Mpro_data_2329_0,Mpro-protein,-6.888669,
Updated_Mpro_data_2329_0,Mpro-protein,-6.770679,
Updated_Mpro_data_1591_0,Mpro-protein,-4.894408,
Updated_Mpro_data_1591_0,Mpro-protein,-4.832829,
Updated_Mpro_data_2136_0,Mpro-protein,-3.954997,
Updated_Mpro_data_2136_0,Mpro-protein,-4.559648,
Updated_Mpro_data_1572_0,Mpro-protein,-6.592746,
Updated_Mpro_data_1572_0,Mpro-protein,-6.592745,
Updated_Mpro_data_1636_0,Mpro-protein,-7.034473,
Updated_Mpro_data_1636_0,Mpro-protein,-6.967838,
Updated_Mpro_data_1058_0,Mpro-protein,-5.827107,
Updated_Mpro_data_1058_0,Mpro-protein,-5.653046,
Updated_Mpro_data_1718_0,Mpro-protein,-8.795288,
Updated_Mpro_data_1718_0,Mpro-protein,-8.81636,
Updated_Mpro_data_1852_0,Mpro-protein,-1.984873,
Updated_Mpro_data_1852_0,Mpro-protein,-3.208419,
Updated_Mpro_data_1356_0,Mpro-protein,-6.420959,
Updated_Mpro_data_1356_0,Mpro-protein,-6.496712,
Updated_Mpro_data_1383_0,Mpro-protein,-7.027153,
Updated_Mpro_data_1383_0,Mpro-protein,-6.807115,
Updated_Mpro_data_91_0,Mpro-protein,-9.050304,
Updated_Mpro_data_91_0,Mpro-protein,-8.774282,
Updated_Mpro_data_304_0,Mpro-protein,-8.776451,
Updated_Mpro_data_304_0,Mpro-protein,-8.145557,
Updated_Mpro_data_341_0,Mpro-protein,-8.827207,
Updated_Mpro_data_341_0,Mpro-protein,-8.705128,
Updated_Mpro_data_1688_0,Mpro-protein,-9.432616,
Updated_Mpro_data_1688_0,Mpro-protein,-9.343309,
Updated_Mpro_data_5_0,Mpro-protein,-8.884428,
Updated_Mpro_data_5_0,Mpro-protein,-8.687107,
Updated_Mpro_data_558_0,Mpro-protein,-6.380785,
Updated_Mpro_data_558_0,Mpro-protein,-6.156446,
Updated_Mpro_data_1746_0,Mpro-protein,-4.82265,
Updated_Mpro_data_1746_0,Mpro-protein,-4.954403,
Updated_Mpro_data_1432_0,Mpro-protein,-2.018554,
Updated_Mpro_data_1432_0,Mpro-protein,-1.383623,
Updated_Mpro_data_1504_0,Mpro-protein,-5.854908,
Updated_Mpro_data_1504_0,Mpro-protein,-5.854907,
Updated_Mpro_data_2659_0,Mpro-protein,-7.44418,
Updated_Mpro_data_2659_0,Mpro-protein,-7.5307,
Updated_Mpro_data_2710_0,Mpro-protein,-7.973241,
Updated_Mpro_data_2710_0,Mpro-protein,-7.718258,
Updated_Mpro_data_19_0,Mpro-protein,-4.441763,
Updated_Mpro_data_19_0,Mpro-protein,-4.296041,
Updated_Mpro_data_876_0,Mpro-protein,-3.640215,
Updated_Mpro_data_876_0,Mpro-protein,-3.640216,
Updated_Mpro_data_149_0,Mpro-protein,-4.366854,
Updated_Mpro_data_149_0,Mpro-protein,-4.36685,
Updated_Mpro_data_2129_0,Mpro-protein,-8.618168,
Updated_Mpro_data_2129_0,Mpro-protein,-8.858822,
Updated_Mpro_data_458_0,Mpro-protein,-5.439939,
Updated_Mpro_data_458_0,Mpro-protein,-5.192368,
Updated_Mpro_data_1415_0,Mpro-protein,-6.684526,
Updated_Mpro_data_1415_0,Mpro-protein,-6.809958,
Updated_Mpro_data_937_0,Mpro-protein,-5.64349,
Updated_Mpro_data_937_0,Mpro-protein,-5.565541,
Updated_Mpro_data_1131_0,Mpro-protein,-10.034169,
Updated_Mpro_data_1131_0,Mpro-protein,-10.086075,
Updated_Mpro_data_1562_0,Mpro-protein,-6.787636,
Updated_Mpro_data_1562_0,Mpro-protein,-6.640711,
Updated_Mpro_data_187_0,Mpro-protein,-3.178209,
Updated_Mpro_data_187_0,Mpro-protein,-3.341602,
Updated_Mpro_data_2115_0,Mpro-protein,-7.180835,
Updated_Mpro_data_2115_0,Mpro-protein,-7.115639,
Updated_Mpro_data_1944_0,Mpro-protein,-1.881375,
Updated_Mpro_data_1944_0,Mpro-protein,-1.799729,
Updated_Mpro_data_2448_0,Mpro-protein,-6.324347,
Updated_Mpro_data_2448_0,Mpro-protein,-6.171161,
Updated_Mpro_data_2000_0,Mpro-protein,-6.298344,
Updated_Mpro_data_2000_0,Mpro-protein,-6.447347,
Updated_Mpro_data_35_0,Mpro-protein,-5.258895,
Updated_Mpro_data_35_0,Mpro-protein,-4.934898,
Updated_Mpro_data_1147_0,Mpro-protein,-8.990849,
Updated_Mpro_data_1147_0,Mpro-protein,-9.624187,
Updated_Mpro_data_444_0,Mpro-protein,-5.360143,
Updated_Mpro_data_444_0,Mpro-protein,-5.222869,
Updated_Mpro_data_844_0,Mpro-protein,-7.554922,
Updated_Mpro_data_844_0,Mpro-protein,-7.149004,
Updated_Mpro_data_130_0,Mpro-protein,-3.750915,
Updated_Mpro_data_130_0,Mpro-protein,-2.987565,
Updated_Mpro_data_182_0,Mpro-protein,-7.578937,
Updated_Mpro_data_182_0,Mpro-protein,-7.659514,
Updated_Mpro_data_1882_0,Mpro-protein,-7.543004,
Updated_Mpro_data_1882_0,Mpro-protein,-7.444154,
Updated_Mpro_data_1090_0,Mpro-protein,-6.965737,
Updated_Mpro_data_1090_0,Mpro-protein,-6.921988,
Updated_Mpro_data_1338_0,Mpro-protein,-6.37916,
Updated_Mpro_data_1338_0,Mpro-protein,-8.257782,
Updated_Mpro_data_1877_0,Mpro-protein,-7.968172,
Updated_Mpro_data_1877_0,Mpro-protein,-8.077292,
Updated_Mpro_data_1184_0,Mpro-protein,-9.303497,
Updated_Mpro_data_1184_0,Mpro-protein,-9.320799,
Updated_Mpro_data_1559_0,Mpro-protein,-6.435612,
Updated_Mpro_data_1559_0,Mpro-protein,-6.284068,
Updated_Mpro_data_1098_0,Mpro-protein,-2.651515,
Updated_Mpro_data_1098_0,Mpro-protein,-2.436878,
Updated_Mpro_data_1516_0,Mpro-protein,-6.495768,
Updated_Mpro_data_1516_0,Mpro-protein,-6.495768,
Updated_Mpro_data_288_0,Mpro-protein,-5.5497,
Updated_Mpro_data_288_0,Mpro-protein,-5.359675,
Updated_Mpro_data_2730_0,Mpro-protein,-7.761624,
Updated_Mpro_data_2730_0,Mpro-protein,-7.671949,
Updated_Mpro_data_1833_0,Mpro-protein,-4.338573,
Updated_Mpro_data_1833_0,Mpro-protein,-4.953515,
Updated_Mpro_data_874_0,Mpro-protein,-5.213067,
Updated_Mpro_data_874_0,Mpro-protein,-5.183292,
Updated_Mpro_data_1350_0,Mpro-protein,-6.673187,
Updated_Mpro_data_1350_0,Mpro-protein,-6.870159,
Updated_Mpro_data_397_0,Mpro-protein,-5.845145,
Updated_Mpro_data_397_0,Mpro-protein,-5.539514,
Updated_Mpro_data_1217_0,Mpro-protein,-5.312221,
Updated_Mpro_data_1217_0,Mpro-protein,-5.18247,
Updated_Mpro_data_933_0,Mpro-protein,-7.209341,
Updated_Mpro_data_933_0,Mpro-protein,-7.514247,
Updated_Mpro_data_1381_0,Mpro-protein,-6.716134,
Updated_Mpro_data_1381_0,Mpro-protein,-6.70991,
Updated_Mpro_data_2598_0,Mpro-protein,-6.911176,
Updated_Mpro_data_2598_0,Mpro-protein,-6.763699,
Updated_Mpro_data_2485_0,Mpro-protein,-6.59048,
Updated_Mpro_data_2485_0,Mpro-protein,-6.505752,
Updated_Mpro_data_1032_0,Mpro-protein,-5.522541,
Updated_Mpro_data_1032_0,Mpro-protein,-5.522542,
Updated_Mpro_data_1203_0,Mpro-protein,-5.357171,
Updated_Mpro_data_1203_0,Mpro-protein,-5.173985,
Updated_Mpro_data_81_0,Mpro-protein,-3.497213,
Updated_Mpro_data_81_0,Mpro-protein,-5.937899,
Updated_Mpro_data_1264_0,Mpro-protein,-5.135531,
Updated_Mpro_data_1264_0,Mpro-protein,-5.522739,
Updated_Mpro_data_2609_0,Mpro-protein,-7.877564,
Updated_Mpro_data_2609_0,Mpro-protein,-7.83632,
Updated_Mpro_data_712_0,Mpro-protein,-8.215793,
Updated_Mpro_data_712_0,Mpro-protein,-8.448626,
Updated_Mpro_data_1924_0,Mpro-protein,-5.321756,
Updated_Mpro_data_1924_0,Mpro-protein,-5.129861,
Updated_Mpro_data_432_0,Mpro-protein,-6.023563,
Updated_Mpro_data_432_0,Mpro-protein,-5.960244,
Updated_Mpro_data_1176_0,Mpro-protein,-6.016741,
Updated_Mpro_data_1176_0,Mpro-protein,-5.606522,
Updated_Mpro_data_2502_0,Mpro-protein,-6.010554,
Updated_Mpro_data_2502_0,Mpro-protein,-6.304502,
Updated_Mpro_data_205_0,Mpro-protein,-6.558372,
Updated_Mpro_data_205_0,Mpro-protein,-6.69171,
Updated_Mpro_data_1844_0,Mpro-protein,-4.778882,
Updated_Mpro_data_1844_0,Mpro-protein,-4.847991,
Updated_Mpro_data_664_0,Mpro-protein,-6.987322,
Updated_Mpro_data_664_0,Mpro-protein,-7.142594,
Updated_Mpro_data_978_0,Mpro-protein,-7.398785,
Updated_Mpro_data_978_0,Mpro-protein,-7.47541,
Updated_Mpro_data_578_0,Mpro-protein,-10.060983,
Updated_Mpro_data_578_0,Mpro-protein,-10.374699,
Updated_Mpro_data_1048_0,Mpro-protein,-6.225192,
Updated_Mpro_data_1048_0,Mpro-protein,-6.224294,
Updated_Mpro_data_1039_0,Mpro-protein,-1.280048,
Updated_Mpro_data_1039_0,Mpro-protein,-1.280607,
Updated_Mpro_data_2733_0,Mpro-protein,-8.097011,
Updated_Mpro_data_2733_0,Mpro-protein,-7.782451,
Updated_Mpro_data_11_0,Mpro-protein,-3.506609,
Updated_Mpro_data_11_0,Mpro-protein,-3.341598,
Updated_Mpro_data_1665_0,Mpro-protein,-6.017149,
Updated_Mpro_data_1665_0,Mpro-protein,-6.035514,
Updated_Mpro_data_2331_0,Mpro-protein,-6.030603,
Updated_Mpro_data_2331_0,Mpro-protein,-6.274834,
Updated_Mpro_data_2702_0,Mpro-protein,-7.57218,
Updated_Mpro_data_2702_0,Mpro-protein,-7.618697,
Updated_Mpro_data_369_0,Mpro-protein,-8.571425,
Updated_Mpro_data_369_0,Mpro-protein,-8.544115,
Updated_Mpro_data_1168_0,Mpro-protein,-6.77903,
Updated_Mpro_data_1168_0,Mpro-protein,-7.310134,
Updated_Mpro_data_466_0,Mpro-protein,-6.463574,
Updated_Mpro_data_466_0,Mpro-protein,-6.228269,
Updated_Mpro_data_2139_0,Mpro-protein,-2.588304,
Updated_Mpro_data_2139_0,Mpro-protein,-3.014101,
Updated_Mpro_data_1386_0,Mpro-protein,-5.434063,
Updated_Mpro_data_1386_0,Mpro-protein,-5.017713,
Updated_Mpro_data_1507_0,Mpro-protein,-3.16718,
Updated_Mpro_data_1507_0,Mpro-protein,-3.167179,
Updated_Mpro_data_210_0,Mpro-protein,-8.989046,
Updated_Mpro_data_210_0,Mpro-protein,-9.155983,
Updated_Mpro_data_1564_0,Mpro-protein,-6.963455,
Updated_Mpro_data_1564_0,Mpro-protein,-6.863713,
Updated_Mpro_data_2464_0,Mpro-protein,-7.960256,
Updated_Mpro_data_2464_0,Mpro-protein,-8.045171,
Updated_Mpro_data_2741_0,Mpro-protein,-5.807178,
Updated_Mpro_data_2741_0,Mpro-protein,-5.807182,
Updated_Mpro_data_234_0,Mpro-protein,-3.95559,
Updated_Mpro_data_234_0,Mpro-protein,-3.893887,
Updated_Mpro_data_2122_0,Mpro-protein,-8.742408,
Updated_Mpro_data_2122_0,Mpro-protein,-8.742412,
Updated_Mpro_data_1540_0,Mpro-protein,-7.741707,
Updated_Mpro_data_1540_0,Mpro-protein,-7.613345,
Updated_Mpro_data_605_0,Mpro-protein,-1.836967,
Updated_Mpro_data_605_0,Mpro-protein,-1.836962,
Updated_Mpro_data_2236_0,Mpro-protein,-0.974659,
Updated_Mpro_data_2236_0,Mpro-protein,-0.795264,
Updated_Mpro_data_531_0,Mpro-protein,-7.948841,
Updated_Mpro_data_531_0,Mpro-protein,-8.07479,
Updated_Mpro_data_2332_0,Mpro-protein,-7.170274,
Updated_Mpro_data_2332_0,Mpro-protein,-7.170273,
Updated_Mpro_data_2573_0,Mpro-protein,-7.70586,
Updated_Mpro_data_2573_0,Mpro-protein,-7.533051,
Updated_Mpro_data_1816_0,Mpro-protein,-8.779778,
Updated_Mpro_data_1816_0,Mpro-protein,-8.720501,
Updated_Mpro_data_1920_0,Mpro-protein,-9.508835,
Updated_Mpro_data_1920_0,Mpro-protein,-9.275475,
Updated_Mpro_data_1082_0,Mpro-protein,-7.816023,
Updated_Mpro_data_1082_0,Mpro-protein,-7.612518,
Updated_Mpro_data_1705_0,Mpro-protein,-4.940802,
Updated_Mpro_data_1705_0,Mpro-protein,-4.796803,
Updated_Mpro_data_2591_0,Mpro-protein,-7.010818,
Updated_Mpro_data_2591_0,Mpro-protein,-7.058053,
Updated_Mpro_data_2234_0,Mpro-protein,-4.460207,
Updated_Mpro_data_2234_0,Mpro-protein,-4.819198,
Updated_Mpro_data_2383_0,Mpro-protein,-6.31779,
Updated_Mpro_data_2383_0,Mpro-protein,-6.174216,
Updated_Mpro_data_533_0,Mpro-protein,-7.621671,
Updated_Mpro_data_533_0,Mpro-protein,-7.437798,
Updated_Mpro_data_2346_0,Mpro-protein,-9.848951,
Updated_Mpro_data_2346_0,Mpro-protein,-9.614269,
Updated_Mpro_data_1821_0,Mpro-protein,-4.525736,
Updated_Mpro_data_1821_0,Mpro-protein,-4.695698,
Updated_Mpro_data_1657_0,Mpro-protein,-7.377132,
